"GEO_ID","id",
"NAME","Geographic Area Name",
"DP02_0001E","Estimate!!HOUSEHOLDS BY TYPE!!Total households",
"DP02_0001M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households",
"DP02_0001PE","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households",
"DP02_0001PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households",
"DP02_0002E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)",
"DP02_0002M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)",
"DP02_0002PE","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)",
"DP02_0002PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)",
"DP02_0003E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years",
"DP02_0003M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years",
"DP02_0003PE","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years",
"DP02_0003PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years",
"DP02_0004E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family",
"DP02_0004M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family",
"DP02_0004PE","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family",
"DP02_0004PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family",
"DP02_0005E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years",
"DP02_0005M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years",
"DP02_0005PE","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years",
"DP02_0005PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years",
"DP02_0006E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family",
"DP02_0006M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family",
"DP02_0006PE","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family",
"DP02_0006PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family",
"DP02_0007E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years",
"DP02_0007M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years",
"DP02_0007PE","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years",
"DP02_0007PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years",
"DP02_0008E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family",
"DP02_0008M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family",
"DP02_0008PE","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family",
"DP02_0008PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family",
"DP02_0009E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years",
"DP02_0009M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years",
"DP02_0009PE","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years",
"DP02_0009PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years",
"DP02_0010E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households",
"DP02_0010M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households",
"DP02_0010PE","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households",
"DP02_0010PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households",
"DP02_0011E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone",
"DP02_0011M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone",
"DP02_0011PE","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone",
"DP02_0011PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone",
"DP02_0012E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over",
"DP02_0012M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over",
"DP02_0012PE","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over",
"DP02_0012PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over",
"DP02_0013E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years",
"DP02_0013M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years",
"DP02_0013PE","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years",
"DP02_0013PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years",
"DP02_0014E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over",
"DP02_0014M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over",
"DP02_0014PE","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over",
"DP02_0014PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over",
"DP02_0015E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size",
"DP02_0015M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Average household size",
"DP02_0015PE","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size",
"DP02_0015PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Average household size",
"DP02_0016E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size",
"DP02_0016M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Average family size",
"DP02_0016PE","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size",
"DP02_0016PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Average family size",
"DP02_0017E","Estimate!!RELATIONSHIP!!Population in households",
"DP02_0017M","Margin of Error!!RELATIONSHIP!!Population in households",
"DP02_0017PE","Percent Estimate!!RELATIONSHIP!!Population in households",
"DP02_0017PM","Percent Margin of Error!!RELATIONSHIP!!Population in households",
"DP02_0018E","Estimate!!RELATIONSHIP!!Population in households!!Householder",
"DP02_0018M","Margin of Error!!RELATIONSHIP!!Population in households!!Householder",
"DP02_0018PE","Percent Estimate!!RELATIONSHIP!!Population in households!!Householder",
"DP02_0018PM","Percent Margin of Error!!RELATIONSHIP!!Population in households!!Householder",
"DP02_0019E","Estimate!!RELATIONSHIP!!Population in households!!Spouse",
"DP02_0019M","Margin of Error!!RELATIONSHIP!!Population in households!!Spouse",
"DP02_0019PE","Percent Estimate!!RELATIONSHIP!!Population in households!!Spouse",
"DP02_0019PM","Percent Margin of Error!!RELATIONSHIP!!Population in households!!Spouse",
"DP02_0020E","Estimate!!RELATIONSHIP!!Population in households!!Child",
"DP02_0020M","Margin of Error!!RELATIONSHIP!!Population in households!!Child",
"DP02_0020PE","Percent Estimate!!RELATIONSHIP!!Population in households!!Child",
"DP02_0020PM","Percent Margin of Error!!RELATIONSHIP!!Population in households!!Child",
"DP02_0021E","Estimate!!RELATIONSHIP!!Population in households!!Other relatives",
"DP02_0021M","Margin of Error!!RELATIONSHIP!!Population in households!!Other relatives",
"DP02_0021PE","Percent Estimate!!RELATIONSHIP!!Population in households!!Other relatives",
"DP02_0021PM","Percent Margin of Error!!RELATIONSHIP!!Population in households!!Other relatives",
"DP02_0022E","Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives",
"DP02_0022M","Margin of Error!!RELATIONSHIP!!Population in households!!Nonrelatives",
"DP02_0022PE","Percent Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives",
"DP02_0022PM","Percent Margin of Error!!RELATIONSHIP!!Population in households!!Nonrelatives",
"DP02_0023E","Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner",
"DP02_0023M","Margin of Error!!RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner",
"DP02_0023PE","Percent Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner",
"DP02_0023PM","Percent Margin of Error!!RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner",
"DP02_0024E","Estimate!!MARITAL STATUS!!Males 15 years and over",
"DP02_0024M","Margin of Error!!MARITAL STATUS!!Males 15 years and over",
"DP02_0024PE","Percent Estimate!!MARITAL STATUS!!Males 15 years and over",
"DP02_0024PM","Percent Margin of Error!!MARITAL STATUS!!Males 15 years and over",
"DP02_0025E","Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married",
"DP02_0025M","Margin of Error!!MARITAL STATUS!!Males 15 years and over!!Never married",
"DP02_0025PE","Percent Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married",
"DP02_0025PM","Percent Margin of Error!!MARITAL STATUS!!Males 15 years and over!!Never married",
"DP02_0026E","Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",
"DP02_0026M","Margin of Error!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",
"DP02_0026PE","Percent Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",
"DP02_0026PM","Percent Margin of Error!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",
"DP02_0027E","Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated",
"DP02_0027M","Margin of Error!!MARITAL STATUS!!Males 15 years and over!!Separated",
"DP02_0027PE","Percent Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated",
"DP02_0027PM","Percent Margin of Error!!MARITAL STATUS!!Males 15 years and over!!Separated",
"DP02_0028E","Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed",
"DP02_0028M","Margin of Error!!MARITAL STATUS!!Males 15 years and over!!Widowed",
"DP02_0028PE","Percent Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed",
"DP02_0028PM","Percent Margin of Error!!MARITAL STATUS!!Males 15 years and over!!Widowed",
"DP02_0029E","Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced",
"DP02_0029M","Margin of Error!!MARITAL STATUS!!Males 15 years and over!!Divorced",
"DP02_0029PE","Percent Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced",
"DP02_0029PM","Percent Margin of Error!!MARITAL STATUS!!Males 15 years and over!!Divorced",
"DP02_0030E","Estimate!!MARITAL STATUS!!Females 15 years and over",
"DP02_0030M","Margin of Error!!MARITAL STATUS!!Females 15 years and over",
"DP02_0030PE","Percent Estimate!!MARITAL STATUS!!Females 15 years and over",
"DP02_0030PM","Percent Margin of Error!!MARITAL STATUS!!Females 15 years and over",
"DP02_0031E","Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married",
"DP02_0031M","Margin of Error!!MARITAL STATUS!!Females 15 years and over!!Never married",
"DP02_0031PE","Percent Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married",
"DP02_0031PM","Percent Margin of Error!!MARITAL STATUS!!Females 15 years and over!!Never married",
"DP02_0032E","Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",
"DP02_0032M","Margin of Error!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",
"DP02_0032PE","Percent Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",
"DP02_0032PM","Percent Margin of Error!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",
"DP02_0033E","Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated",
"DP02_0033M","Margin of Error!!MARITAL STATUS!!Females 15 years and over!!Separated",
"DP02_0033PE","Percent Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated",
"DP02_0033PM","Percent Margin of Error!!MARITAL STATUS!!Females 15 years and over!!Separated",
"DP02_0034E","Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed",
"DP02_0034M","Margin of Error!!MARITAL STATUS!!Females 15 years and over!!Widowed",
"DP02_0034PE","Percent Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed",
"DP02_0034PM","Percent Margin of Error!!MARITAL STATUS!!Females 15 years and over!!Widowed",
"DP02_0035E","Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced",
"DP02_0035M","Margin of Error!!MARITAL STATUS!!Females 15 years and over!!Divorced",
"DP02_0035PE","Percent Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced",
"DP02_0035PM","Percent Margin of Error!!MARITAL STATUS!!Females 15 years and over!!Divorced",
"DP02_0036E","Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months",
"DP02_0036M","Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months",
"DP02_0036PE","Percent Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months",
"DP02_0036PM","Percent Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months",
"DP02_0037E","Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",
"DP02_0037M","Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",
"DP02_0037PE","Percent Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",
"DP02_0037PM","Percent Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",
"DP02_0038E","Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women",
"DP02_0038M","Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women",
"DP02_0038PE","Percent Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women",
"DP02_0038PM","Percent Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women",
"DP02_0039E","Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old",
"DP02_0039M","Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old",
"DP02_0039PE","Percent Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old",
"DP02_0039PM","Percent Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old",
"DP02_0040E","Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old",
"DP02_0040M","Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old",
"DP02_0040PE","Percent Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old",
"DP02_0040PM","Percent Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old",
"DP02_0041E","Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old",
"DP02_0041M","Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old",
"DP02_0041PE","Percent Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old",
"DP02_0041PM","Percent Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old",
"DP02_0042E","Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old",
"DP02_0042M","Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old",
"DP02_0042PE","Percent Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old",
"DP02_0042PM","Percent Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old",
"DP02_0043E","Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years",
"DP02_0043M","Margin of Error!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years",
"DP02_0043PE","Percent Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years",
"DP02_0043PM","Percent Margin of Error!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years",
"DP02_0044E","Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren",
"DP02_0044M","Margin of Error!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren",
"DP02_0044PE","Percent Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren",
"DP02_0044PM","Percent Margin of Error!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren",
"DP02_0045E","Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year",
"DP02_0045M","Margin of Error!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year",
"DP02_0045PE","Percent Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year",
"DP02_0045PM","Percent Margin of Error!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year",
"DP02_0046E","Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years",
"DP02_0046M","Margin of Error!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years",
"DP02_0046PE","Percent Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years",
"DP02_0046PM","Percent Margin of Error!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years",
"DP02_0047E","Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years",
"DP02_0047M","Margin of Error!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years",
"DP02_0047PE","Percent Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years",
