,State,"Active Physicians per 100,000 Population, 2018","Total Active Patient Care Physicians per 100,000 Population, 2018","Active Primary Care Physicians per 100,000 Population, 2018","Active Patient Care Primary Care Physicians per 100,000 Population, 2018","Active General Surgeons per 100,000 Population, 2018","Active Patient Care General Surgeons per 100,000 Population, 2018","Percentage of Active Physicians Who Are Female, 2018","Percentage of Active Physicians Who Are International Medical Graduates (IMGs), 2018","Percentage of Active Physicians Who Are Age 60 or Older, 2018","MD and DO Student Enrollment per 100,000 Population, AY 2018-2019","Student Enrollment at Public MD and DO Schools per 100,000 Population, AY 2018-2019","Percentage Change in Student Enrollment at MD and DO Schools, 2008-2018","Percentage of MD Students Matriculating In-State, AY 2018-2019","Total Residents/Fellows in ACGME Programs per 100,000 Population as of December 31, 2018","Total Residents/Fellows in Primary Care ACGME Programs per 100,000 Population as of Dec. 31, 2018","Percentage of Residents in ACGME Programs Who Are IMGs as of December 31, 2018","Ratio of Residents and Fellows (GME) to Medical Students (UME), AY 2017-2018","Percent Change in Residents and Fellows in ACGME-Accredited Programs, 2008-2018","Percentage of Physicians Retained in State from Undergraduate Medical Education (UME), 2018",All Specialties,Allergy & Immunology,Anatomic/Clinical Pathology,Anesthesiology,Cardiovascular Disease,Child & Adolescent Psychiatry**,Critical Care Medicine,Dermatology,Emergency Medicine,"Endocrinology, Diabetes & Metabolism",Family Medicine/General Practice,Gastroenterology,General Surgery,Geriatric Medicine***,Hematology & Oncology,Infectious Disease,Internal Medicine,Internal Medicine/Pediatrics,Interventional Cardiology,Neonatal-Perinatal Medicine,Nephrology,Neurological Surgery,Neurology,Neuroradiology,Obstetrics & Gynecology,Ophthalmology,Orthopedic Surgery,Otolaryngology,Pain Medicine & Pain Management,Pediatrics**,Physical Medicine & Rehabilitation,Plastic Surgery,Preventive Medicine,Psychiatry,Pulmonary Disease,Radiation Oncology,Radiology & Diagnostic Radiology,Rheumatology,Sports Medicine,Thoracic Surgery,Urology,Vascular & Interventional Radiology,Vascular Surgery
0,AL,217.1,196.7,77.2,71.2,7.6,6.9,28.5%,18.1%,34.4%,49.1,22.8,136.8%,82.1%,29.9,11.9,21.9%,0.6,18.4%,48.4%,"10,614",44,142,477,292,87,124,133,401,70,"1,578",182,372,42,157,88,"1,371",66,65,56,141,70,177,44,531,212,291,171,48,708,96,74,63,318,74,72,351,79,35,64,148,30,40
0,AK,276.9,256.7,112.8,105.6,9.6,8.5,38.0%,6.1%,31.5%,NA,NA,NA,NA,5.0,4.7,2.7%,NA,2.8%,NA,"2,042",NA,19,97,33,27,16,19,136,NA,523,19,71,NA,22,NA,161,15,NA,12,10,13,17,NA,99,30,75,31,16,126,12,12,22,74,NA,13,56,NA,NA,NA,19,NA,NA
0,AZ,242.0,224.0,78.1,73.2,6.9,6.1,32.6%,24.8%,32.1%,31.7,11.7,54.7%,49.1%,25.8,9.5,19.0%,0.8,37.8%,41.7%,"17,356",67,229,"1,061",410,161,238,243,917,119,"2,206",288,494,106,268,142,"2,156",100,103,80,222,107,286,85,765,301,372,152,134,"1,023",159,156,117,675,130,108,566,93,46,87,198,87,69
0,AR,207.6,188.2,79.9,75.0,7.0,6.5,27.9%,18.2%,33.3%,34.2,23.7,66.2%,93.0%,29.6,14.0,30.7%,0.8,25.8%,57.9%,"6,256",33,108,266,150,53,65,72,256,43,"1,394",95,210,55,87,36,496,77,47,37,74,65,82,26,277,127,152,72,35,384,64,33,20,220,27,33,207,39,13,41,67,28,11
0,CA,279.6,243.8,96.2,87.1,7.2,6.2,37.8%,24.0%,33.7%,19.8,8.8,27.5%,40.3%,29.4,10.6,10.7%,1.5,22.7%,62.8%,"110,603",595,"1,569","5,244","2,288","1,184","1,277","1,815","5,445",867,"13,588","1,681","2,849",615,"1,736","1,024","15,652",404,365,675,"1,236",653,"1,624",423,"5,113","2,487","2,274","1,189",627,"7,705","1,074","1,127",909,"5,693",589,587,"3,235",726,269,473,"1,091",399,410
0,CO,285.7,262.5,95.4,88.9,7.8,7.1,38.8%,8.3%,29.5%,30.0,14.4,109.7%,31.5%,28.5,11.4,3.4%,0.9,40.3%,42.9%,"16,272",110,200,904,254,194,223,226,"1,074",110,"2,581",210,444,92,223,131,"1,717",69,54,81,142,111,214,71,760,285,381,184,64,958,202,117,196,599,90,73,464,99,65,57,158,69,43
0,CT,352.1,302.9,105.7,93.7,8.6,7.1,37.9%,29.7%,34.1%,38.8,13.0,60.9%,44.5%,68.0,26.8,35.7%,1.7,18.9%,19.1%,"12,579",74,190,558,374,230,177,188,515,150,653,275,306,116,239,171,"2,105",65,47,83,159,76,181,39,627,278,256,115,49,830,100,86,76,810,94,62,401,95,17,54,120,50,58
0,DE,284.6,252.3,96.8,87.2,7.0,6.6,39.0%,26.3%,30.2%,NA,NA,NA,NA,39.8,16.6,15.8%,NA,14.9%,NA,"2,753",18,31,100,73,27,36,23,124,13,348,48,68,18,43,31,304,36,13,27,35,NA,39,NA,125,50,62,25,19,227,35,18,19,102,16,14,91,13,16,16,27,12,NA
0,DC,847.0,619.0,239.7,179.4,25.3,15.2,47.2%,23.0%,30.5%,295.0,NA,2.0%,31.5%,238.9,77.9,29.9%,0.9,5.1%,6.2%,"5,950",40,107,230,139,81,98,61,260,64,310,91,178,39,140,123,818,28,24,55,72,37,102,31,239,100,67,47,15,470,48,38,102,359,33,22,148,52,11,28,55,26,23
0,FL,265.2,240.7,86.8,80.1,6.9,6.0,30.7%,35.9%,36.1%,27.0,14.4,53.2%,58.2%,28.9,11.6,31.2%,1.1,84.0%,48.0%,"56,484",256,757,"2,631","1,643",416,739,944,"2,641",477,"6,879","1,093","1,463",405,939,566,"7,513",184,292,354,653,416,961,231,"2,525","1,340","1,170",584,463,"3,481",544,652,304,"1,859",420,372,"1,809",367,147,322,733,267,259
0,GA,228.7,202.9,79.1,71.9,7.0,6.1,35.6%,22.5%,30.8%,28.6,9.2,39.2%,68.9%,25.5,10.5,25.7%,0.9,30.7%,43.9%,"24,054",113,302,978,612,197,318,271,"1,139",164,"2,942",403,734,124,354,296,"3,328",97,97,149,351,150,352,89,"1,365",472,553,305,172,"1,820",210,206,363,896,117,137,748,139,56,100,274,97,137
0,HI,314.1,273.7,118.5,104.7,9.4,8.4,35.3%,13.9%,37.3%,20.4,20.4,15.1%,65.9%,30.1,14.8,20.1%,1.5,3.4%,51.8%,"4,462",16,57,178,70,71,42,61,275,21,536,63,133,80,45,27,688,35,NA,29,35,19,46,19,236,116,95,41,18,340,48,27,72,229,20,18,125,25,14,17,47,12,13
0,ID,192.6,181.6,73.9,68.9,5.8,5.5,26.3%,5.5%,29.4%,9.2,NA,NA,NA,8.0,8.0,11.3%,0.7,182.0%,NA,"3,379",15,26,111,67,23,30,43,231,13,798,45,101,NA,31,13,316,10,11,19,30,29,35,18,163,64,128,42,19,164,44,23,20,81,22,16,128,17,22,10,43,12,11
0,IL,284.4,240.5,99.6,87.2,7.0,5.8,38.7%,30.7%,30.4%,44.7,13.4,2.5%,62.6%,49.1,19.8,25.9%,1.2,7.1%,30.9%,"36,240",218,585,"1,569",898,298,476,440,"1,787",325,"4,545",589,888,227,639,386,"5,261",282,163,286,448,206,532,184,"1,754",751,634,349,238,"2,352",402,233,197,"1,382",189,197,"1,019",237,117,150,366,193,123
0,IN,230.8,212.0,80.3,74.4,6.5,6.1,31.8%,21.7%,31.1%,32.1,22.3,78.0%,76.3%,22.3,9.7,15.0%,0.7,12.2%,51.1%,"15,448",65,215,"1,063",398,93,199,155,763,134,"2,686",245,432,73,262,130,"1,605",161,81,120,215,89,232,66,736,270,376,170,110,838,150,94,78,438,91,103,465,97,69,89,184,77,55
0,IA,218.2,193.1,84.8,77.9,6.9,6.5,32.9%,19.5%,29.6%,49.4,21.3,5.1%,70.2%,32.2,12.7,19.1%,0.6,21.8%,21.9%,"6,886",28,98,320,160,49,101,77,251,39,"1,647",86,217,33,107,52,622,18,34,45,63,37,96,28,280,161,170,88,35,355,45,31,51,219,35,43,198,41,13,33,67,19,28
0,KS,227.6,206.5,88.0,80.5,6.8,6.3,33.3%,17.1%,30.8%,30.0,30.0,21.7%,76.7%,28.6,10.0,19.3%,1.0,14.0%,37.7%,"6,627",36,90,310,155,60,81,70,256,47,"1,434",81,197,29,100,43,659,66,33,31,70,40,93,17,294,131,168,81,37,371,66,63,27,241,29,39,204,41,24,36,82,29,17
0,KY,230.9,214.6,77.3,72.9,8.3,7.6,31.4%,20.8%,31.6%,40.3,28.3,32.1%,88.3%,31.4,10.8,18.4%,0.7,25.4%,44.9%,"10,319",68,143,483,251,97,149,121,520,58,"1,468",158,369,34,170,78,"1,102",160,63,82,138,72,144,30,496,196,252,112,84,687,78,84,62,347,63,65,341,60,26,72,132,25,58
0,LA,260.3,231.8,84.1,75.8,9.1,7.8,31.4%,19.8%,32.0%,45.6,28.7,12.8%,87.3%,47.1,17.0,28.2%,1.0,28.2%,40.0%,"12,132",69,165,501,316,95,154,195,637,95,"1,503",208,424,35,180,122,"1,359",156,93,74,181,101,167,29,661,317,307,223,72,860,122,88,59,423,84,61,386,87,19,63,186,40,57
0,ME,330.2,305.7,128.9,119.7,12.1,11.7,37.3%,13.8%,36.0%,53.0,NA,40.6%,NA,24.7,12.2,12.1%,0.5,9.3%,18.2%,"4,420",16,34,178,105,60,58,36,290,21,901,56,162,39,63,34,525,21,NA,18,40,21,52,NA,166,75,104,34,14,239,44,19,46,212,22,17,91,23,29,19,48,17,20
0,MD,386.0,306.1,116.2,97.6,9.6,7.5,41.0%,26.8%,34.1%,32.6,22.8,2.9%,27.1%,48.3,14.9,23.2%,1.5,2.6%,21.9%,"23,323",207,379,"1,009",555,326,368,308,915,285,"1,614",376,578,169,521,481,"3,533",114,56,134,275,126,446,92,"1,072",569,416,241,138,"1,569",248,181,409,"1,128",123,129,623,221,50,97,239,71,109
0,MA,449.5,353.7,134.3,114.6,9.6,7.3,42.4%,24.0%,30.8%,46.0,9.8,12.6%,35.1%,83.0,23.4,20.7%,1.8,8.5%,29.5%,"31,025",195,563,"1,210",867,456,532,451,"1,247",431,"1,731",531,660,235,783,525,"4,997",210,127,178,408,143,670,161,"1,042",596,475,260,158,"2,044",207,174,204,"1,850",184,181,906,280,71,143,279,137,133
0,MI,287.0,249.7,97.8,87.6,7.9,6.7,35.0%,29.2%,31.6%,52.9,49.9,56.1%,71.5%,69.0,23.6,26.8%,1.4,49.5%,43.4%,"28,692",152,359,"1,012",624,238,396,331,"1,621",208,"4,093",379,788,172,445,267,"3,632",308,174,119,317,172,404,137,"1,291",613,516,241,169,"1,560",373,178,176,928,120,168,837,167,89,131,281,105,136
0,MN,302.7,265.0,104.9,96.0,7.4,6.6,37.2%,17.2%,27.9%,24.2,18.1,29.7%,54.3%,41.9,13.4,17.5%,1.7,7.0%,52.0%,"16,984",74,232,579,416,142,270,209,770,138,"2,991",272,416,100,324,150,"1,719",187,75,63,182,88,291,128,691,286,375,151,75,883,195,96,133,581,67,94,743,107,90,76,166,80,70
0,MS,191.3,174.8,65.9,61.2,7.1,6.7,27.2%,15.4%,33.7%,35.0,21.1,135.1%,85.1%,26.1,10.9,19.0%,0.7,58.2%,53.2%,"5,714",30,95,240,138,45,62,67,305,45,884,110,213,26,80,38,652,55,41,37,91,49,87,19,320,129,154,78,51,345,32,53,26,171,35,41,186,37,10,42,84,28,29
0,MO,273.1,236.3,86.6,79.0,7.0,6.3,34.2%,20.9%,30.2%,71.3,15.0,14.8%,67.4%,49.4,15.7,19.5%,0.7,17.8%,21.3%,"16,732",99,229,733,439,154,362,200,725,158,"2,112",277,428,112,282,168,"1,876",128,92,140,224,133,260,60,727,326,381,182,69,"1,067",152,110,86,604,82,104,528,110,54,91,178,72,70
0,MT,247.1,236.2,91.5,88.0,9.8,9.4,31.5%,5.8%,35.0%,NA,NA,NA,NA,7.7,7.6,24.4%,NA,331.6%,NA,"2,625",13,30,153,45,22,30,29,169,13,571,32,104,NA,37,14,263,22,11,14,17,26,35,NA,117,55,86,33,NA,106,26,20,14,81,13,20,76,18,NA,20,32,15,10
0,NE,239.2,214.5,88.2,80.3,6.8,6.2,32.9%,14.8%,28.8%,61.7,28.1,18.9%,87.0%,42.2,17.2,29.4%,0.7,23.1%,27.1%,"4,614",28,91,242,107,40,62,37,160,38,925,67,131,25,67,46,443,29,24,22,40,33,65,13,209,97,125,64,24,279,35,32,13,138,20,32,155,31,NA,19,51,22,29
0,NV,213.5,185.8,72.3,65.0,5.6,5.0,29.1%,27.3%,29.6%,32.6,13.2,35.3%,73.2%,21.4,12.4,26.2%,0.6,155.9%,41.6%,"6,478",22,66,403,137,40,54,65,384,51,824,84,169,57,78,34,957,22,34,36,89,32,87,21,305,119,148,48,75,332,80,49,38,196,37,35,195,27,21,24,59,28,12
0,NH,315.1,287.6,105.9,99.6,9.7,8.6,36.5%,17.8%,31.9%,31.2,NA,24.0%,17.8%,30.9,6.9,16.7%,1.0,9.7%,10.5%,"4,274",19,56,195,106,51,76,52,234,26,582,75,132,27,80,36,530,28,14,16,30,23,65,15,181,72,123,41,26,266,34,25,52,184,21,24,141,40,NA,23,64,15,33
0,NJ,306.5,271.0,97.7,87.5,7.6,6.7,36.8%,38.2%,36.6%,30.5,29.8,43.2%,45.1%,37.7,17.4,47.9%,1.4,21.3%,33.5%,"27,305",183,360,"1,422",943,293,298,363,"1,010",294,"2,099",576,674,201,498,348,"4,116",79,128,201,365,124,405,84,"1,363",578,556,256,217,"2,197",463,245,118,"1,133",226,146,757,183,87,124,346,91,136
0,NM,244.8,213.8,91.1,82.1,7.7,7.3,38.4%,19.3%,38.5%,44.2,21.5,187.0%,71.0%,29.1,11.1,21.5%,0.7,14.4%,38.0%,"5,129",15,81,194,94,66,65,51,319,38,938,75,162,42,70,50,562,14,13,35,60,24,69,17,221,80,117,52,26,353,47,24,54,243,24,23,138,39,11,21,47,18,14
0,NY,375.1,304.1,112.9,94.8,10.2,7.4,38.9%,37.0%,34.8%,58.2,15.6,33.4%,67.0%,88.8,33.1,37.6%,1.6,9.0%,35.9%,"73,298",397,962,"3,363","2,218","1,123","1,060","1,047","2,777",760,"4,707","1,431","1,985",653,"1,526",973,"11,103",278,299,456,973,366,"1,297",344,"3,292","1,671","1,148",723,437,"5,235","1,000",594,384,"4,677",513,364,"2,184",512,118,330,801,244,335
0,NC,255.0,223.5,86.2,78.1,7.1,6.2,35.6%,15.7%,28.6%,28.2,11.4,47.4%,57.1%,35.6,11.9,10.5%,1.3,27.2%,38.2%,"26,481",135,322,970,625,304,373,362,"1,375",221,"3,484",477,741,187,515,274,"3,202",240,109,154,334,165,364,130,"1,290",533,593,321,150,"1,823",265,189,171,"1,099",147,164,801,177,92,141,334,103,127
0,ND,237.6,217.1,87.0,79.6,10.5,9.7,30.3%,26.1%,28.5%,40.8,40.8,25.0%,90.6%,19.9,11.7,46.4%,0.5,34.8%,33.7%,"1,806",NA,35,76,30,21,23,20,87,10,396,21,80,NA,34,14,171,NA,13,16,24,21,19,NA,73,32,49,14,NA,83,14,13,NA,65,NA,12,62,12,NA,11,20,11,NA
0,OH,292.7,248.6,93.7,83.7,8.3,7.1,34.9%,25.1%,28.9%,46.3,37.8,22.8%,74.5%,58.5,20.2,22.3%,1.3,25.9%,40.2%,"34,217",159,471,"1,414",832,300,528,385,"1,681",265,"4,231",509,976,190,570,316,"4,152",263,147,236,384,226,487,124,"1,459",647,697,330,221,"2,085",340,215,220,"1,142",179,214,"1,002",224,162,205,365,119,172
0,OK,206.7,189.1,73.9,68.5,6.2,5.8,29.9%,18.3%,33.8%,29.0,29.0,13.1%,82.2%,29.1,12.0,18.0%,1.2,52.9%,48.2%,"8,151",25,93,425,181,63,92,82,342,55,"1,590",122,244,31,115,43,756,68,61,53,92,69,108,23,356,159,199,82,52,467,53,42,55,317,41,44,261,47,30,40,102,32,19
0,OR,303.4,271.5,109.4,101.0,9.2,8.3,39.3%,11.5%,29.1%,15.6,15.6,23.7%,55.4%,24.2,9.9,6.8%,1.7,26.8%,44.9%,"12,714",34,138,653,200,122,172,158,778,87,"1,966",183,387,79,192,83,"1,756",47,40,58,118,86,193,46,593,284,273,140,58,731,104,80,110,535,44,77,345,75,31,55,130,48,52
0,PA,320.5,273.3,100.8,88.2,8.7,7.2,35.6%,23.5%,33.3%,64.0,NA,17.8%,63.0%,69.7,25.1,22.3%,1.2,22.1%,31.3%,"41,041",194,576,"1,738","1,223",442,644,529,"1,832",392,"5,003",755,"1,112",287,832,456,"5,172",140,170,271,548,269,641,166,"1,690",875,758,389,241,"2,273",510,261,218,"1,697",273,270,"1,329",330,150,248,416,162,188
0,RI,370.0,325.3,117.5,106.6,10.1,8.6,41.1%,24.1%,30.1%,57.2,NA,42.0%,23.4%,79.4,29.1,14.4%,1.5,10.2%,12.6%,"3,912",10,59,117,105,76,52,67,187,35,305,71,107,38,73,63,615,20,19,20,51,21,68,11,189,66,76,28,15,260,16,19,21,229,29,16,110,31,11,10,40,24,17
0,SC,229.5,205.0,80.1,72.3,7.0,6.2,31.3%,15.2%,31.2%,43.3,30.7,123.6%,90.6%,29.7,11.0,10.2%,0.6,34.2%,46.7%,"11,666",57,148,504,255,131,126,139,720,83,"1,874",197,354,65,155,93,"1,264",83,66,66,153,72,154,42,599,251,280,141,57,783,90,90,80,440,69,62,321,84,49,68,143,49,51
0,SD,240.4,219.1,92.8,84.8,9.2,8.6,31.8%,16.0%,29.9%,31.3,31.3,31.4%,85.1%,17.1,10.1,25.2%,0.6,55.7%,41.5%,"2,121",NA,40,83,36,18,22,32,83,NA,460,27,81,14,26,18,245,NA,NA,15,26,18,30,NA,95,37,66,28,11,90,20,16,14,76,NA,14,71,11,NA,10,25,NA,NA
0,TN,253.1,225.8,85.1,77.8,8.1,7.4,30.3%,17.4%,33.3%,42.4,14.8,36.7%,69.7%,38.4,13.2,17.7%,0.9,21.1%,34.1%,"17,133",100,319,729,450,105,261,188,690,132,"2,161",285,548,43,294,169,"2,256",211,96,110,218,119,258,89,855,342,425,185,82,"1,084",122,135,107,567,122,99,581,109,48,101,213,77,87
0,TX,224.8,199.9,72.9,66.5,6.2,5.4,35.2%,25.9%,27.9%,28.3,24.3,55.2%,84.9%,29.9,10.1,20.8%,1.1,23.1%,59.7%,"64,533",383,932,"3,512","1,410",647,816,857,"3,334",504,"8,646","1,046","1,785",381,"1,121",552,"7,096",310,374,505,955,426,842,322,"3,308","1,265","1,309",722,490,"4,438",646,637,429,"2,064",251,353,"1,952",382,188,336,698,299,221
0,UT,216.2,199.9,65.3,62.2,5.8,5.4,24.6%,9.3%,26.5%,16.6,16.6,21.5%,43.5%,26.0,8.8,6.1%,1.6,20.2%,43.8%,"6,833",34,100,439,108,61,85,116,427,35,997,104,182,26,91,50,515,45,34,58,57,48,94,38,339,176,183,91,53,482,108,72,51,211,45,36,190,37,48,33,71,21,17
0,VT,367.1,322.7,130.3,121.5,11.7,9.9,41.7%,10.7%,35.7%,76.3,76.3,NA,50.9%,50.9,14.5,13.2%,0.7,20.4%,13.6%,"2,299",NA,47,85,37,31,38,30,123,18,357,25,73,15,41,20,276,11,NA,12,23,12,40,NA,104,39,47,21,15,156,16,NA,19,141,12,11,67,14,NA,NA,21,NA,NA
0,VA,263.2,231.8,90.3,81.7,7.3,6.3,37.7%,22.0%,31.1%,43.2,25.3,46.4%,46.5%,28.8,11.2,18.4%,0.7,15.7%,31.4%,"22,419",147,258,975,477,244,292,318,"1,158",209,"3,014",363,623,136,310,196,"2,815",97,102,154,250,132,338,85,"1,101",451,461,244,93,"1,619",228,189,229,"1,001",117,99,686,137,55,94,247,95,96
0,WA,278.8,246.3,100.6,91.7,6.9,6.1,38.8%,15.3%,31.2%,24.7,17.1,97.4%,48.0%,28.5,11.6,5.4%,1.2,25.2%,42.1%,"21,007",90,251,"1,038",369,166,274,260,"1,082",146,"3,685",324,522,131,392,205,"2,422",81,74,89,207,135,272,104,871,384,461,221,116,"1,244",253,133,227,788,70,124,625,136,82,86,233,78,102
0,WV,263.4,231.6,100.1,89.4,10.5,9.2,29.7%,27.5%,33.5%,89.2,89.2,13.8%,88.9%,51.8,23.0,30.2%,0.6,44.1%,30.4%,"4,757",11,82,178,117,33,56,42,236,48,935,58,190,23,80,36,527,66,33,16,65,32,60,15,201,91,109,56,19,253,27,30,36,160,26,21,138,17,12,34,54,11,25
0,WI,264.9,238.3,94.6,86.4,7.9,7.1,35.0%,19.3%,29.2%,30.4,13.1,14.8%,70.4%,34.6,12.0,16.3%,1.1,17.9%,36.5%,"15,399",88,219,782,319,151,201,212,798,120,"2,707",212,457,96,258,118,"1,700",89,51,97,147,102,223,98,620,318,380,164,85,892,195,86,86,515,66,99,567,103,57,71,170,77,50
0,WY,207.9,199.6,79.8,76.2,10.6,10.4,26.0%,13.4%,33.6%,NA,NA,NA,NA,7.3,7.3,35.7%,NA,5.0%,NA,"1,201",NA,13,78,22,NA,NA,14,84,NA,296,13,61,NA,13,10,103,NA,NA,NA,NA,10,10,NA,74,11,52,16,NA,53,NA,NA,NA,41,NA,NA,42,NA,NA,NA,18,NA,NA
