FIPS,State,Area_Name,3/7/20,3/14/20,3/21/20,3/28/20,4/4/20,4/11/20,4/18/20,4/25/20,5/2/20,5/9/20,,,,,,,,,,,,,,,,,,,
0,united states,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,alabama,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,alaska,AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,arizona,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,arkansas,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6000,california,CA,0.2,0.8,2.1,3.7,4.4,,,,,,,,,,,,,,,,,,,,,,,,
8000,colorado,CO,0,0.6,3.8,10.6,16.7,,,,,,,,,,,,,,,,,,,,,,,,
9000,connecticut,CT,0,0.7,4,17.9,40.6,,,,,,,,,,,,,,,,,,,,,,,,
10000,delaware,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000,district of columbia,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12000,florida,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13000,georgia,GA,0.3,1.8,4.7,6.7,7.6,,,,,,,,,,,,,,,,,,,,,,,,
15000,hawaii,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16000,idaho,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17000,illinois,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18000,indiana,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19000,iowa,IA,0,0,0.8,0.8,1.5,,,,,,,,,,,,,,,,,,,,,,,,
20000,kansas,KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21000,kentucky,KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22000,louisiana,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23000,maine,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24000,maryland,MD,0.1,0.4,2.3,9.7,18.5,,,,,,,,,,,,,,,,,,,,,,,,
25000,massachusetts,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26000,michigan,MI,0.1,0.2,4.5,19.2,36.2,,,,,,,,,,,,,,,,,,,,,,,,
27000,minnesota,MN,0,0.1,1,3.3,6.2,,,,,,,,,,,,,,,,,,,,,,,,
28000,mississippi,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29000,missouri,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30000,montana,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31000,nebraska,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32000,nevada,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000,new hampshire,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34000,new jersey,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35000,new mexico,NM,0,0.2,0.6,1.9,3.6,,,,,,,,,,,,,,,,,,,,,,,,
36000,new york,NY,0,0.6,2.8,8.7,16.2,,,,,,,,,,,,,,,,,,,,,,,,
37000,north carolina,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38000,north dakota,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39000,ohio,OH,0,0.2,0.8,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,
40000,oklahoma,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41000,oregon,OR,0.1,0.5,2.2,5,8.1,,,,,,,,,,,,,,,,,,,,,,,,
42000,pennsylvania,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44000,rhode island,RI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45000,south carolina,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46000,south dakota,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47000,tennessee,TN,0.1,0.6,2.9,8.4,13.6,,,,,,,,,,,,,,,,,,,,,,,,
48000,texas,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49000,utah,UT,0,0.2,1.2,3.2,5.6,,,,,,,,,,,,,,,,,,,,,,,,
50000,vermont,VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51000,virginia,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53000,washington,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54000,west virginia,WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55000,wisconsin,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56000,wyoming,WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,